Word,IPA,,,,,,
Abiram,ˈabaɪram,,,,,,
bade,beɪd,,,,,,
goats,ɡoʊts,,,,,,
ribband,ˈrɪbənd,,,,,,
Seemeth,ˈsiːməθ,,,,,,
slander,ˈslɛndər,,,,,,
sojourn,ˈsəʊdʒɜːn,,,,,,
sojourneth,ˈsoʊd͡ʒɚnɜrθ,,,,,,
Abel-mizraim,ˈɑːbəlmɪzˈreɪɪm,,,,,,
Abiah,əˈbaɪə,,,,,,
Abiathar,əˈbɪəθɑːr,,,,,,
Abib,aˈbib,,,,,,
abideth,əˈbaɪdɪθ,,,,,,
Abiel,ˈæ.bi.əl,,,,,,
Abiram,əˈbaɪrəm,,,,,,
Accad,ˈɒkɒd,,,,,,
accursed,ərˈkɜːrst,,,,,,
Achor,ˈa.kɔr,,,,,,
Achshaph,ˈɑrkʃæf,,,,,,
Addi,ˈædaɪ,,,,,,
Adonijah,ˌədɔˈnɪdʒɜ,,,,,,
Adonizedek,ˌædəˈnaɪzədɛk,,,,,,
Adoram,aˈdɔːrəm,,,,,,
Ahihud,aˈhaɪˌhʊd,,,,,,
Ahijah,əˈhaɪdʒə,,,,,,
Ahilud,ɑˈhaɪːləd,,,,,,
Ahimaaz,əˈhɪməæz,,,,,,
Ahinoam,aˈhɪnoʊæm,,,,,,
Ahisamach,əˈhisəmæk,,,,,,
Ahitub,əˈhaɪːtʌb,,,,,,
Ahuzzath,aˈħuzatχ,,,,,,
Ai,aɪ,,,,,,
Aiah,eɪaɪə,,,,,,
Aijalon,aɪdʒəˈlɑːn,,,,,,
Ain,ˈɑɪn,,,,,,
Akrabbim,ˈæk.rə.bɪm,,,,,,
alway,ˈɔːlweɪ,,,,,,
Amasa,aˈmasa,,,,,,
Ammiel,ˈamiˌɛl,,,,,,
Ammon,ˈæhmən,,,,,,
Ammonite,ˈæmənaɪts,,,,,,
Ammonites,ˈæmənaɪts,,,,,,
Amos,ˈeɪməs,,,,,,
Aner,ɑˈnɛʁ,,,,,,
Aphiah,əˈfaɪə,,,,,,
Arad,ˈɒrʌd,,,,,,
Aram,ˈaram,,,,,,
Ard,ɑrd,,,,,,
Ardites,ˈɑrdaɪts,,,,,,
are clean,ˈɑr,,,,,,
